monthDay,selectedDate,selectedAF,selectedStatus,comparisonDate,comparisonAF,comparisonStatus,baselineMeanAF,baselineCount
12-05,2024-12-05,2780297,reported,2020-12-05,2019321,reported,2467376.3666666667,30
12-06,2024-12-06,2782230,reported,2020-12-06,2018281,reported,2471911.6333333333,30
12-07,2024-12-07,2784800,reported,2020-12-07,2018801,reported,2477050.066666667,30
12-08,2024-12-08,2786317,reported,2020-12-08,2017761,reported,2483511.9,30
12-09,2024-12-09,2785453,reported,2020-12-09,2016546,reported,2490685.9,30
12-10,2024-12-10,2784378,reported,2020-12-10,2016546,reported,2499243.533333333,30
12-11,2024-12-11,2785669,reported,2020-12-11,2015853,reported,2507672.1666666665,30
12-12,2024-12-12,2790852,reported,2020-12-12,2013771,reported,2513452.2333333334,30
12-13,2024-12-13,2807266,reported,2020-12-13,2015679,reported,2519419.8333333335,30
12-14,2024-12-14,2854936,reported,2020-12-14,2016026,reported,2527075,30
12-15,2024-12-15,2878411,reported,2020-12-15,2018454,reported,2536808.9,30
12-16,2024-12-16,2899362,reported,2020-12-16,2017414,reported,2544734.6,30
12-17,2024-12-17,2916633,reported,2020-12-17,2021056,reported,2550330.533333333,30
12-18,2024-12-18,2934665,reported,2020-12-18,2022270,reported,2555550.966666667,30
12-19,2024-12-19,2943371,reported,2020-12-19,2020709,reported,2557515.827586207,29
12-20,2024-12-20,2950084,reported,2020-12-20,2020709,reported,2569562.1,30
12-21,2024-12-21,2961049,reported,2020-12-21,2021229,reported,2577246.4,30
12-22,2024-12-22,2975223,reported,2020-12-22,2022097,reported,2584909.2,30
12-23,2024-12-23,2994403,reported,2020-12-23,2022443,reported,2592280.066666667,30
12-24,2024-12-24,3045808,reported,2020-12-24,2023311,reported,2598883.1333333333,30
12-25,2024-12-25,3082113,reported,2020-12-25,2026606,reported,2603680.6,30
12-26,2024-12-26,3117084,reported,2020-12-26,2027300,reported,2609178.9,30
12-27,2024-12-27,3177017,reported,2020-12-27,2027126,reported,2616595.6333333333,30
12-28,2024-12-28,3254003,reported,2020-12-28,2028514,reported,2631389.8666666667,30
12-29,2024-12-29,3371584,reported,2020-12-29,2030253,reported,2642125.033333333,30
12-30,2024-12-30,3438339,reported,2020-12-30,2031649,reported,2654562.966666667,30
12-31,2024-12-31,3477432,reported,2020-12-31,2031649,reported,2675621.933333333,30
01-01,2025-01-01,3499231,reported,2021-01-01,2033220,reported,2718225.8620689656,29
01-02,2025-01-02,3508013,reported,2021-01-02,2034964,reported,2712741.2666666666,30
01-03,2025-01-03,3523897,reported,2021-01-03,2037756,reported,2719303.2666666666,30
01-04,2025-01-04,3538799,reported,2021-01-04,2049273,reported,2724774.433333333,30
01-05,2025-01-05,3545895,reported,2021-01-05,2052240,reported,2727797.8333333335,30
01-06,2025-01-06,3549442,reported,2021-01-06,2056430,reported,2730155.2666666666,30
