monthDay,selectedDate,selectedAF,selectedStatus,comparisonDate,comparisonAF,comparisonStatus,baselineMeanAF,baselineCount
01-05,2024-01-05,3147883,reported,2025-01-05,3545895,reported,2727797.8333333335,30
01-06,2024-01-06,3148587,reported,2025-01-06,3549442,reported,2730155.2666666666,30
01-07,2024-01-07,3147414,reported,2025-01-07,3549189,reported,2731790.6666666665,30
01-08,2024-01-08,3149525,reported,2025-01-08,3545134,reported,2735328.3666666667,30
01-09,2024-01-09,3149760,reported,2025-01-09,3538799,reported,2743695.1333333333,30
01-10,2024-01-10,3153043,reported,2025-01-10,3532217,reported,2756323,30
01-11,2024-01-11,3153747,reported,2025-01-11,3523392,reported,2766761.2333333334,30
01-12,2024-01-12,3155858,reported,2025-01-12,3513559,reported,2774700.2,30
01-13,2024-01-13,3163129,reported,2025-01-13,3502493,reported,2784220.4,30
01-14,2024-01-14,3169942,reported,2025-01-14,3491955,reported,2801844.566666667,30
01-15,2024-01-15,3171121,reported,2025-01-15,3481176,reported,2808176.2666666666,30
01-16,2024-01-16,3176073,reported,2025-01-16,3477681,reported,2818445.6,30
01-17,2024-01-17,3180554,reported,2025-01-17,3475934,reported,2829818,30
01-18,2024-01-18,3188100,reported,2025-01-18,3474686,reported,2842034.1,30
01-19,2024-01-19,3199695,reported,2025-01-19,3480177,reported,2855002.6333333333,30
01-20,2024-01-20,3242511,reported,2025-01-20,3483675,reported,2871260.966666667,30
01-21,2024-01-21,3310304,reported,2025-01-21,3481176,reported,2882360.566666667,30
01-22,2024-01-22,3403490,reported,2025-01-22,3485180,reported,2892111.533333333,30
01-23,2024-01-23,3450013,reported,2025-01-23,3481675,reported,2901145.566666667,30
01-24,2024-01-24,3492958,reported,2025-01-24,3480427,reported,2910348.6666666665,30
01-25,2024-01-25,3526670,reported,2025-01-25,3483173,reported,2919365.3666666667,30
01-26,2024-01-26,3554257,reported,2025-01-26,3487438,reported,2931309.8666666667,30
01-27,2024-01-27,3574861,reported,2025-01-27,3489948,reported,2940873.4,30
01-28,2024-01-28,3591449,reported,2025-01-28,3491704,reported,2947757.466666667,30
01-29,2024-01-29,3607316,reported,2025-01-29,3488191,reported,2954093.3333333335,30
01-30,2024-01-30,3617334,reported,2025-01-30,3481925,reported,2959257.1666666665,30
01-31,2024-01-31,3623764,reported,2025-01-31,3492457,reported,2963459.1666666665,30
02-01,2024-02-01,3662741,reported,2025-02-01,3509777,reported,2971468.6666666665,30
02-02,2024-02-02,3684558,reported,2025-02-02,3585563,reported,2981660.8333333335,30
02-03,2024-02-03,3697073,reported,2025-02-03,3717976,reported,2993029.3333333335,30
02-04,2024-02-04,3712473,reported,2025-02-04,3916518,reported,3000976,30
02-05,2024-02-05,3751077,reported,2025-02-05,4050396,reported,3013535.1666666665,30
02-06,2024-02-06,3777756,reported,2025-02-06,4108450,reported,3029941.433333333,30
02-07,2024-02-07,3787557,reported,2025-02-07,4112914,reported,3048251.466666667,30
02-08,2024-02-08,3791001,reported,2025-02-08,4058134,reported,3061802.9,30
02-09,2024-02-09,3792590,reported,2025-02-09,3990449,reported,3079059.466666667,30
02-10,2024-02-10,3790047,reported,2025-02-10,3913819,reported,3091252.9,30
02-11,2024-02-11,3784378,reported,2025-02-11,3835820,reported,3101465.566666667,30
02-12,2024-02-12,3776696,reported,2025-02-12,3750814,reported,3109306.7666666666,30
02-13,2024-02-13,3767160,reported,2025-02-13,3707514,reported,3116340.533333333,30
02-14,2024-02-14,3768219,reported,2025-02-14,3677026,reported,3126073.7,30
02-15,2024-02-15,3773252,reported,2025-02-15,3633281,reported,3132615.7666666666,30
02-16,2024-02-16,3780140,reported,2025-02-16,3591961,reported,3141139.7333333334,30
02-17,2024-02-17,3792325,reported,2025-02-17,3556284,reported,3155286.9,30
02-18,2024-02-18,3815090,reported,2025-02-18,3530704,reported,3166344.4,30
02-19,2024-02-19,3875344,reported,2025-02-19,3511290,reported,3178456.8,30
02-20,2024-02-20,3946026,reported,2025-02-20,3505253,reported,3191204.103448276,29
02-21,2024-02-21,3966971,reported,2025-02-21,3498980,reported,3210789.3103448274,29
02-22,2024-02-22,3960159,reported,2025-02-22,3497475,reported,3221017.7,30
02-23,2024-02-23,3933824,reported,2025-02-23,3503246,reported,3229840.4,30
02-24,2024-02-24,3896831,reported,2025-02-24,3510029,reported,3235215.8666666667,30
02-25,2024-02-25,3859561,reported,2025-02-25,3521627,reported,3242075,30
02-26,2024-02-26,3820922,reported,2025-02-26,3534745,reported,3252086.7333333334,30
02-27,2024-02-27,3787557,reported,2025-02-27,3546148,reported,3263156.3,30
02-28,2024-02-28,3760829,reported,2025-02-28,3561365,reported,3269364.433333333,30
02-29,2024-02-29,3748969,reported,,,no-calendar-date,3363259.5714285714,7
03-01,2024-03-01,3742643,reported,2025-03-01,3578171,reported,3331186.6896551726,29
03-02,2024-03-02,3742116,reported,2025-03-02,3594264,reported,3276140.7666666666,30
03-03,2024-03-03,3741325,reported,2025-03-03,3605013,reported,3281659.9,30
03-04,2024-03-04,3742380,reported,2025-03-04,3617849,reported,3288743.033333333,30
03-05,2024-03-05,3765046,reported,2025-03-05,3631481,reported,3298736.8666666667,30
03-06,2024-03-06,3810590,reported,2025-03-06,3640765,reported,3310343.4,30
03-07,2024-03-07,3832628,reported,2025-03-07,3649294,reported,3363256.6551724137,29
03-08,2024-03-08,3842471,reported,2025-03-08,3655497,reported,3327471.966666667,30
03-09,2024-03-09,3848336,reported,2025-03-09,3661442,reported,3334973.1,30
03-10,2024-03-10,3852345,reported,2025-03-10,3669494,reported,3347972.933333333,30
03-11,2024-03-11,3860096,reported,2025-03-11,3676506,reported,3362048.8333333335,30
03-12,2024-03-12,3872390,reported,2025-03-12,3692896,reported,3374678.2333333334,30
03-13,2024-03-13,3880985,reported,2025-03-13,3712212,reported,3387776.2666666666,30
03-14,2024-03-14,3891728,reported,2025-03-14,3727942,reported,3401360.8666666667,30
03-15,2024-03-15,3902756,reported,2025-03-15,3746333,reported,3420602.1,30
03-16,2024-03-16,3911121,reported,2025-03-16,3803443,reported,3438897.1666666665,30
03-17,2024-03-17,3920835,reported,2025-03-17,3868114,reported,3456079.7333333334,30
03-18,2024-03-18,3930842,reported,2025-03-18,3906264,reported,3466933.6333333333,30
03-19,2024-03-19,3944399,reported,2025-03-19,3922724,reported,3475100.033333333,30
03-20,2024-03-20,3954709,reported,2025-03-20,3926232,reported,3481545.6666666665,30
03-21,2024-03-21,3969695,reported,2025-03-21,3927588,reported,3489285.7666666666,30
03-22,2024-03-22,3986890,reported,2025-03-22,3930299,reported,3500541.033333333,30
03-23,2024-03-23,4013195,reported,2025-03-23,3930028,reported,3516149.1,30
03-24,2024-03-24,4039895,reported,2025-03-24,3932740,reported,3533266.7666666666,30
03-25,2024-03-25,4060068,reported,2025-03-25,3938434,reported,3549137.8620689656,29
03-26,2024-03-26,4079212,reported,2025-03-26,3946839,reported,3559685.620689655,29
03-27,2024-03-27,4100360,reported,2025-03-27,3964791,reported,3566377.5,30
03-28,2024-03-28,4122697,reported,2025-03-28,3992913,reported,3576063.5,30
03-29,2024-03-29,4149055,reported,2025-03-29,4014570,reported,3585044.9,30
03-30,2024-03-30,4172145,reported,2025-03-30,4039066,reported,3594415.6333333333,30
03-31,2024-03-31,4194200,reported,2025-03-31,4067273,reported,3603812.2333333334,30
04-01,2024-04-01,4212351,reported,2025-04-01,4097012,reported,3613454.066666667,30
04-02,2024-04-02,4227987,reported,2025-04-02,4123258,reported,3622654.3666666667,30
04-03,2024-04-03,4246532,reported,2025-04-03,4146802,reported,3631550.1,30
04-04,2024-04-04,4264829,reported,2025-04-04,4169892,reported,3640529.6,30
04-05,2024-04-05,4278030,reported,2025-04-05,4191371,reported,3648717.466666667,30
04-06,2024-04-06,4290375,reported,2025-04-06,4209224,reported,3658904.3,30
04-07,2024-04-07,4303923,reported,2025-04-07,4226850,reported,3671872.7333333334,30
04-08,2024-04-08,4311418,reported,2025-04-08,4255669,reported,3683896.9,30
04-09,2024-04-09,4324130,reported,2025-04-09,4269995,reported,3694208.6666666665,30
04-10,2024-04-10,4335423,reported,2025-04-10,4285204,reported,3702098.4,30
04-11,2024-04-11,4343242,reported,2025-04-11,4299888,reported,3710647.1333333333,30
04-12,2024-04-12,4335423,reported,2025-04-12,4319207,reported,3721777.7666666666,30
04-13,2024-04-13,4338898,reported,2025-04-13,4334555,reported,3731109.7,30
04-14,2024-04-14,4344690,reported,2025-04-14,4347006,reported,3739191,30
04-15,2024-04-15,4352216,reported,2025-04-15,4357425,reported,3746935.8333333335,30
04-16,2024-04-16,4355978,reported,2025-04-16,4365818,reported,3754655.566666667,30
04-17,2024-04-17,4361477,reported,2025-04-17,4367555,reported,3763368.2333333334,30
04-18,2024-04-18,4368423,reported,2025-04-18,4368133,reported,3771257.6,30
04-19,2024-04-19,4371896,reported,2025-04-19,4369002,reported,3778045.6,30
04-20,2024-04-20,4373053,reported,2025-04-20,4369580,reported,3785410.6666666665,30
04-21,2024-04-21,4374790,reported,2025-04-21,4372764,reported,3792562.7,30
04-22,2024-04-22,4380309,reported,2025-04-22,4376530,reported,3799301.4,30
04-23,2024-04-23,4377402,reported,2025-04-23,4384088,reported,3805450.7333333334,30
04-24,2024-04-24,4374790,reported,2025-04-24,4387867,reported,3811068.6333333333,30
04-25,2024-04-25,4369870,reported,2025-04-25,4391356,reported,3816396.433333333,30
04-26,2024-04-26,4366107,reported,2025-04-26,4394263,reported,3820608.933333333,30
04-27,2024-04-27,4360898,reported,2025-04-27,4401530,reported,3802294.4827586208,29
04-28,2024-04-28,4359740,reported,2025-04-28,4405312,reported,3829746.8333333335,30
04-29,2024-04-29,4360898,reported,2025-04-29,4399495,reported,3834360.966666667,30
04-30,2024-04-30,4364082,reported,2025-04-30,4396007,reported,3837998.3,30
05-01,2024-05-01,4368423,reported,2025-05-01,4387867,reported,3841808.4,30
05-02,2024-05-02,4373922,reported,2025-05-02,4384379,reported,3844728.2666666666,30
05-03,2024-05-03,4380309,reported,2025-05-03,4381763,reported,3847666.4,30
05-04,2024-05-04,4393100,reported,2025-05-04,4379437,reported,3850121.3666666667,30
05-05,2024-05-05,4398914,reported,2025-05-05,4376239,reported,3852761.2,30
05-06,2024-05-06,4402693,reported,2025-05-06,4379146,reported,3854692.9,30
05-07,2024-05-07,4397170,reported,2025-05-07,4379146,reported,3855724.433333333,30
05-08,2024-05-08,4388158,reported,2025-05-08,4378565,reported,3856536,30
05-09,2024-05-09,4380600,reported,2025-05-09,4367265,reported,3858607.1333333333,30
05-10,2024-05-10,4374211,reported,2025-05-10,4358293,reported,3871852.896551724,29
05-11,2024-05-11,4371896,reported,2025-05-11,4345559,reported,3859838.7333333334,30
05-12,2024-05-12,4371027,reported,2025-05-12,4331369,reported,3858961.7333333334,30
05-13,2024-05-13,4373053,reported,2025-05-13,4321524,reported,3857642.8,30
05-14,2024-05-14,4378856,reported,2025-05-14,4319786,reported,3856116.033333333,30
05-15,2024-05-15,4383216,reported,2025-05-15,4316318,reported,3854492,30
05-16,2024-05-16,4384379,reported,2025-05-16,4310841,reported,3855441.566666667,30
05-17,2024-05-17,4389612,reported,2025-05-17,4304788,reported,3855178.1,30
05-18,2024-05-18,4391065,reported,2025-05-18,4300176,reported,3856810.8,30
05-19,2024-05-19,4392809,reported,2025-05-19,4295276,reported,3857352.3666666667,30
05-20,2024-05-20,4389902,reported,2025-05-20,4278890,reported,3856340.1666666665,30
05-21,2024-05-21,4377984,reported,2025-05-21,4262821,reported,3854469.4,30
