STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
NML,D,15,STORAGE,19910101 0000,19910101 0000,386200,,AF
NML,D,15,STORAGE,19910102 0000,19910102 0000,386771,,AF
NML,D,15,STORAGE,19910103 0000,19910103 0000,387092,,AF
NML,D,15,STORAGE,19910104 0000,19910104 0000,386200,,AF
NML,D,15,STORAGE,19910105 0000,19910105 0000,386400,,AF
NML,D,15,STORAGE,19910106 0000,19910106 0000,386611,,AF
NML,D,15,STORAGE,19910107 0000,19910107 0000,386972,,AF
NML,D,15,STORAGE,19910108 0000,19910108 0000,386612,,AF
NML,D,15,STORAGE,19910109 0000,19910109 0000,386892,,AF
NML,D,15,STORAGE,19910110 0000,19910110 0000,387132,,AF
NML,D,15,STORAGE,19910111 0000,19910111 0000,387600,,AF
NML,D,15,STORAGE,19910112 0000,19910112 0000,386100,,AF
NML,D,15,STORAGE,19910113 0000,19910113 0000,386300,,AF
NML,D,15,STORAGE,19910114 0000,19910114 0000,386571,,AF
NML,D,15,STORAGE,19910115 0000,19910115 0000,386852,,AF
NML,D,15,STORAGE,19910116 0000,19910116 0000,387172,,AF
NML,D,15,STORAGE,19910117 0000,19910117 0000,386651,,AF
NML,D,15,STORAGE,19910118 0000,19910118 0000,386200,,AF
NML,D,15,STORAGE,19910119 0000,19910119 0000,385600,,AF
NML,D,15,STORAGE,19910120 0000,19910120 0000,385800,,AF
NML,D,15,STORAGE,19910121 0000,19910121 0000,384612,,AF
NML,D,15,STORAGE,19910122 0000,19910122 0000,382900,,AF
NML,D,15,STORAGE,19910123 0000,19910123 0000,383140,,AF
NML,D,15,STORAGE,19910124 0000,19910124 0000,383339,,AF
NML,D,15,STORAGE,19910125 0000,19910125 0000,380600,,AF
NML,D,15,STORAGE,19910126 0000,19910126 0000,379400,,AF
NML,D,15,STORAGE,19910127 0000,19910127 0000,379569,,AF
NML,D,15,STORAGE,19910128 0000,19910128 0000,378264,,AF
NML,D,15,STORAGE,19910129 0000,19910129 0000,376646,,AF
NML,D,15,STORAGE,19910130 0000,19910130 0000,---,,AF
NML,D,15,STORAGE,19910131 0000,19910131 0000,373268,,AF
NML,D,15,STORAGE,19910201 0000,19910201 0000,371500,,AF
NML,D,15,STORAGE,19910202 0000,19910202 0000,369900,,AF
NML,D,15,STORAGE,19910203 0000,19910203 0000,370221,,AF
NML,D,15,STORAGE,19910204 0000,19910204 0000,369675,,AF
NML,D,15,STORAGE,19910205 0000,19910205 0000,370182,,AF
NML,D,15,STORAGE,19910206 0000,19910206 0000,370534,,AF
NML,D,15,STORAGE,19910207 0000,19910207 0000,370846,,AF
NML,D,15,STORAGE,19910208 0000,19910208 0000,371400,,AF
NML,D,15,STORAGE,19910209 0000,19910209 0000,371700,,AF
NML,D,15,STORAGE,19910210 0000,19910210 0000,371704,,AF
NML,D,15,STORAGE,19910211 0000,19910211 0000,371900,,AF
NML,D,15,STORAGE,19910212 0000,19910212 0000,372173,,AF
NML,D,15,STORAGE,19910213 0000,19910213 0000,372524,,AF
NML,D,15,STORAGE,19910214 0000,19910214 0000,372836,,AF
NML,D,15,STORAGE,19910215 0000,19910215 0000,371700,,AF
NML,D,15,STORAGE,19910216 0000,19910216 0000,370800,,AF
NML,D,15,STORAGE,19910217 0000,19910217 0000,371000,,AF
NML,D,15,STORAGE,19910218 0000,19910218 0000,371275,,AF
NML,D,15,STORAGE,19910219 0000,19910219 0000,371500,,AF
NML,D,15,STORAGE,19910220 0000,19910220 0000,371783,,AF
NML,D,15,STORAGE,19910221 0000,19910221 0000,372095,,AF
NML,D,15,STORAGE,19910222 0000,19910222 0000,371700,,AF
NML,D,15,STORAGE,19910223 0000,19910223 0000,371900,,AF
NML,D,15,STORAGE,19910224 0000,19910224 0000,372173,,AF
NML,D,15,STORAGE,19910225 0000,19910225 0000,372368,,AF
NML,D,15,STORAGE,19910226 0000,19910226 0000,372680,,AF
NML,D,15,STORAGE,19910227 0000,19910227 0000,373200,,AF
NML,D,15,STORAGE,19910228 0000,19910228 0000,372602,,AF
NML,D,15,STORAGE,19910301 0000,19910301 0000,---,,AF
