observation_date,PAYEMS_20250110
2023-12-01,157304
2024-01-01,157560
2024-02-01,157796
2024-03-01,158106
2024-04-01,158214
2024-05-01,158430
2024-06-01,158548
2024-07-01,158692
2024-08-01,158770
2024-09-01,159025
2024-10-01,159068
2024-11-01,159280
2024-12-01,159536
