observation_date,PAYEMS_20241004
2023-12-01,157304
2024-01-01,157560
2024-02-01,157796
2024-03-01,158106
2024-04-01,158214
2024-05-01,158430
2024-06-01,158548
2024-07-01,158692
2024-08-01,158851
2024-09-01,159105
