seriesId,itemId,month,priceUSD,quantityUnit,sourceStatus,snapshotId
APU0000711211,bananas,2023-02,0.641,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000711211,bananas,2023-03,0.632,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000711211,bananas,2023-04,0.635,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000711211,bananas,2023-05,0.628,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000711211,bananas,2023-06,0.625,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000711211,bananas,2023-07,0.631,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000711211,bananas,2023-08,0.631,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000711211,bananas,2023-09,0.625,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000711211,bananas,2023-10,0.626,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000711211,bananas,2023-11,0.627,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000711211,bananas,2023-12,0.625,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000711211,bananas,2024-01,0.617,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000711211,bananas,2024-02,0.625,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000711211,bananas,2024-03,0.629,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000711211,bananas,2024-04,0.626,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000711211,bananas,2024-05,0.622,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000711211,bananas,2024-06,0.625,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000711211,bananas,2024-07,0.613,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000711211,bananas,2024-08,0.612,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000711211,bananas,2024-09,0.617,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000711211,bananas,2024-10,0.619,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000711211,bananas,2024-11,0.622,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000711211,bananas,2024-12,0.615,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000711211,bananas,2025-01,0.621,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000711211,bananas,2025-02,0.619,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000711211,bananas,2025-03,0.625,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000711211,bananas,2025-04,0.635,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000711211,bananas,2025-05,0.655,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000711211,bananas,2025-06,0.654,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000711211,bananas,2025-07,0.657,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000711211,bananas,2025-08,0.666,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000711211,bananas,2025-09,0.670,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000711211,bananas,2025-10,,lb,unavailable,e01-bls-2026-09-05-66f1d260
APU0000711211,bananas,2025-11,0.664,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000711211,bananas,2025-12,0.656,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2018-01,1.281,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2018-02,1.265,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2018-03,1.309,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2018-04,1.281,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2018-05,1.293,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2018-06,1.279,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2018-07,1.293,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2018-08,1.302,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2018-09,1.288,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2018-10,1.277,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2018-11,1.274,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2018-12,1.290,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2019-01,1.274,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2019-02,1.282,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2019-03,1.261,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2019-04,1.285,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2019-05,1.289,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2019-06,1.280,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2019-07,1.281,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2019-08,1.275,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2019-09,1.296,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2019-10,1.325,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2019-11,1.361,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2019-12,1.363,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2020-01,1.351,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2020-02,1.375,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2020-03,1.374,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2020-04,1.406,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2020-05,1.412,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2020-06,1.474,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2020-07,1.485,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2020-08,1.495,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2020-09,1.492,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2020-10,1.503,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2020-11,1.515,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2020-12,1.538,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2021-01,1.546,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2021-02,1.537,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2021-03,1.526,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2021-04,1.510,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2021-05,1.511,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2021-06,1.510,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2021-07,1.491,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2021-08,1.467,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2021-09,1.580,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2021-10,1.526,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2021-11,1.547,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2021-12,1.532,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2022-01,1.555,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2022-02,1.578,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2022-03,1.607,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2022-04,1.612,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2022-05,1.606,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2022-06,1.691,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2022-07,1.715,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2022-08,1.756,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2022-09,1.749,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2022-10,1.814,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2022-11,1.847,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2022-12,1.873,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2023-01,1.888,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2023-02,1.896,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2023-03,1.936,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2023-04,1.989,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2023-05,1.951,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2023-06,1.937,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2023-07,1.980,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2023-08,1.970,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2023-09,1.972,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2023-10,2.002,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2023-11,1.976,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2023-12,2.024,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2024-01,2.033,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2024-02,2.006,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2024-03,1.997,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2024-04,1.998,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2024-05,1.971,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2024-06,1.973,lb,observed,e01-bls-2026-09-05-66f1d260
APU0000702111,bread,2024-07,1.975,lb,observed,e01-bls-2026-09-05-66f1d260
